GEO_UID,Visible_minority%,Immigrants%,Canadian_citizens%,Housing_Renter%,Housing_Owner%,Native_english/french_speaker%,Martial_status_Married%,Single-detached_house%,Highrise_condo%,Movable_dwelling%,Avg_household_size,Age_0_14%,Age_15_64%,Age_65%,Age_avg
59153688,0.126903553,0.241116751,0.818527919,0.317258883,0.19035533,0.907360406,0.38071066,0,0.701058201,0,1.8,0.114213198,0.48857868,0.399746193,54.2
59153689,0.090470446,0.25331725,0.880579011,0.265379976,0.17490953,0.916767189,0.464414958,0,0,0.040540541,2.1,0.126658625,0.621230398,0.247285887,47.7
59153690,0.149892934,0.34261242,1.070663812,0.203426124,0.310492505,1,0.588865096,0,0,0,2.1,0.117773019,0.546038544,0.321199143,49.8
59153691,0.180722892,0.321285141,0.793172691,0.481927711,0.130522088,0.893574297,0.351405622,0,0.419161677,0.01497006,1.5,0.060240964,0.592369478,0.341365462,51.7
59153692,0.215362527,0.358937545,0.904522613,0.23689878,0.297918162,0.976310122,0.534816942,0,0.482233503,0,1.8,0.096913137,0.620961953,0.287150036,49.8
59153693,0.652173913,0.491990847,0.755148741,0.034324943,0.274599542,0.812356979,0.469107551,0.620915033,0,0,3.1,0.125858124,0.686498856,0.194508009,41
59153694,0.681818182,0.48553719,0.816115702,0.030991736,0.27892562,0.857438017,0.588842975,0.668604651,0,0,3,0.123966942,0.661157025,0.227272727,45.4
59153695,0.624464133,0.327236353,0.595884538,0.254358388,0.228636753,0.971706202,0.39154044,0.040795512,0.507394187,0,2,0.140040011,0.815947414,0.044298371,31.1
59153696,0.306358382,0.375722543,0.930635838,0.202312139,0.179190751,0.930635838,0.497109827,0,0,0,2.7,0.179190751,0.705202312,0.115606936,39.4
59153697,0.282470961,0.348468849,0.926610348,0.20063358,0.174234424,1,0.451425554,0,0,0,2.8,0.219112988,0.723336853,0.058078141,35.2
59153698,0.333333333,0.300813008,0.886178862,0.162601626,0.162601626,1,0.471544715,0.198019802,0,0,3,0.203252033,0.691056911,0.105691057,37.7
59153699,0.311890838,0.350877193,0.984405458,0.019493177,0.380116959,1,0.555555556,0,0,0,2.7,0.14619883,0.740740741,0.116959064,40.7
59153700,0.411311054,0.359897172,0.771208226,0.038560411,0.28277635,0.861182519,0.539845758,0.769230769,0,0,3,0.167095116,0.59125964,0.257069409,44.5
59153701,0.910201588,0.671960904,0.748320098,0.146609652,0.345143555,0.86744044,0.522296885,0,0.642615558,0,2,0.119120342,0.766646304,0.113011607,38.7
59153702,0.985247629,0.800842993,0.758693361,0.036880927,0.384615385,0.937829294,0.532139094,0.012987013,0,0,2.5,0.173867229,0.732349842,0.09483667,37.2
